epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,813.583,0.64226,0.50006,0.98757,0.77477,0.64963,0.73194,0.56898,0.99054,0.85168,1.1529,0.000704041,0.000704041,0.000704041
113,820.778,0.67095,0.52702,0.98891,0.82596,0.61662,0.71923,0.55619,0.9989,0.87819,1.16343,0.000700374,0.000700374,0.000700374
114,827.878,0.64965,0.50582,0.99553,0.7493,0.70853,0.74269,0.58093,0.99864,0.85352,1.15437,0.000696708,0.000696708,0.000696708
115,835.039,0.63895,0.49184,0.98126,0.80992,0.64988,0.72124,0.57166,1.01659,0.88747,1.15902,0.000693042,0.000693042,0.000693042
116,842.203,0.63821,0.48592,0.98807,0.81791,0.66113,0.73359,0.57425,1.02533,0.91956,1.18962,0.000689376,0.000689376,0.000689376
117,849.311,0.64586,0.50631,0.98222,0.65522,0.72953,0.73494,0.56967,0.99109,0.90553,1.17084,0.000685709,0.000685709,0.000685709
118,856.482,0.64305,0.49887,0.98888,0.77593,0.6728,0.70964,0.54014,1.03861,0.88207,1.22522,0.000682043,0.000682043,0.000682043
119,863.67,0.65558,0.50099,0.99318,0.78428,0.71163,0.76121,0.58975,1.01616,0.92817,1.17862,0.000678377,0.000678377,0.000678377
120,870.858,0.67392,0.5199,0.99261,0.81645,0.58497,0.70372,0.54145,0.9863,0.91776,1.15834,0.00067471,0.00067471,0.00067471
121,877.976,0.63087,0.4877,0.97816,0.77768,0.61266,0.72235,0.55087,1.01958,0.90822,1.18628,0.000671044,0.000671044,0.000671044
122,885.168,0.6634,0.49605,1.00552,0.71676,0.64689,0.76301,0.58638,1.02374,0.88978,1.17548,0.000667378,0.000667378,0.000667378
123,892.428,0.63688,0.50087,0.98766,0.91106,0.63004,0.75257,0.58457,0.9847,0.83276,1.14325,0.000663711,0.000663711,0.000663711
124,899.581,0.62685,0.49214,0.98179,0.74303,0.66803,0.7046,0.54308,1.0697,0.94605,1.21574,0.000660045,0.000660045,0.000660045
125,906.728,0.62898,0.48911,0.98478,0.85555,0.65385,0.7613,0.59308,1.0058,0.88588,1.17866,0.000656379,0.000656379,0.000656379
126,913.8,0.6315,0.48771,0.97807,0.86033,0.65978,0.78561,0.61431,0.99221,0.81,1.17146,0.000652712,0.000652712,0.000652712
127,920.91,0.63658,0.49241,0.978,0.85922,0.69177,0.77672,0.62016,0.97571,0.80684,1.15244,0.000649046,0.000649046,0.000649046
128,928.01,0.62509,0.48567,0.97816,0.81519,0.63415,0.72822,0.56376,1.00886,0.85144,1.18393,0.00064538,0.00064538,0.00064538
129,935.133,0.62364,0.48097,0.98022,0.77709,0.70824,0.76631,0.6096,0.97112,0.8839,1.1383,0.000641714,0.000641714,0.000641714
130,942.21,0.63258,0.49525,0.97427,0.78205,0.74274,0.79793,0.63224,1.01834,0.86943,1.17766,0.000638047,0.000638047,0.000638047
131,949.579,0.63343,0.488,0.97955,0.83751,0.65762,0.748,0.57008,1.01149,0.858,1.19463,0.000634381,0.000634381,0.000634381
132,956.748,0.60242,0.46466,0.97362,0.80896,0.63942,0.7334,0.57028,1.00323,0.82294,1.1805,0.000630715,0.000630715,0.000630715
133,963.931,0.61318,0.46961,0.96979,0.83117,0.72037,0.78853,0.60108,1.01397,0.8029,1.20264,0.000627048,0.000627048,0.000627048
134,971.029,0.60403,0.4552,0.97136,0.84778,0.70276,0.77623,0.60775,0.97417,0.80226,1.15481,0.000623382,0.000623382,0.000623382
135,978.224,0.61358,0.47082,0.97288,0.84726,0.67467,0.75951,0.59403,0.98378,0.82038,1.17769,0.000619716,0.000619716,0.000619716
136,985.387,0.60038,0.46207,0.96771,0.81442,0.67237,0.75322,0.58621,1.00566,0.82483,1.20986,0.000616049,0.000616049,0.000616049
137,992.49,0.59245,0.45235,0.96107,0.90366,0.66148,0.75266,0.58695,1.00396,0.8866,1.19759,0.000612383,0.000612383,0.000612383
138,999.644,0.60325,0.47408,0.96913,0.85781,0.66557,0.77731,0.60983,0.98811,0.89621,1.18302,0.000608717,0.000608717,0.000608717
139,1006.89,0.60161,0.45941,0.96959,0.75423,0.72316,0.75326,0.59512,0.99923,0.89624,1.18479,0.000605051,0.000605051,0.000605051
140,1014.06,0.59558,0.46542,0.97148,0.78008,0.76099,0.8011,0.62341,0.97047,0.84783,1.1739,0.000601384,0.000601384,0.000601384
141,1021.18,0.60521,0.45422,0.96329,0.92007,0.65785,0.77988,0.61271,0.9861,0.84119,1.17707,0.000597718,0.000597718,0.000597718
142,1028.37,0.60354,0.45913,0.9652,0.85759,0.6964,0.78473,0.60364,1.00545,0.85758,1.19405,0.000594052,0.000594052,0.000594052
143,1035.49,0.59224,0.4529,0.95905,0.87208,0.67422,0.75699,0.59767,0.9792,0.8217,1.16432,0.000590385,0.000590385,0.000590385
144,1042.69,0.59832,0.45519,0.9694,0.86889,0.72099,0.79335,0.62441,0.97902,0.80692,1.14985,0.000586719,0.000586719,0.000586719
145,1049.89,0.59657,0.45888,0.96671,0.83864,0.65947,0.76143,0.59466,0.96824,0.78439,1.15365,0.000583053,0.000583053,0.000583053
146,1057.04,0.59585,0.45152,0.96777,0.87565,0.67207,0.77195,0.60183,0.99758,0.82215,1.16797,0.000579386,0.000579386,0.000579386
147,1064.19,0.58409,0.43744,0.95397,0.82314,0.70847,0.78463,0.612,0.9544,0.82662,1.15681,0.00057572,0.00057572,0.00057572
148,1071.36,0.5759,0.43575,0.95582,0.79265,0.7591,0.79784,0.62279,0.99794,0.85675,1.17843,0.000572054,0.000572054,0.000572054
149,1078.48,0.59467,0.44472,0.95366,0.78507,0.72459,0.76338,0.60442,1.00773,0.91765,1.19464,0.000568388,0.000568388,0.000568388
150,1085.54,0.57949,0.43615,0.96125,0.7627,0.6985,0.74832,0.57823,0.98498,0.82811,1.17751,0.000564721,0.000564721,0.000564721
151,1092.68,0.57988,0.44516,0.95976,0.84364,0.65621,0.76858,0.6007,0.98856,0.84138,1.17285,0.000561055,0.000561055,0.000561055
152,1099.87,0.56214,0.42712,0.95336,0.82402,0.7049,0.78238,0.62174,1.01085,0.88284,1.20015,0.000557389,0.000557389,0.000557389
153,1107.01,0.58061,0.43517,0.95559,0.82783,0.64688,0.75178,0.58516,0.97362,0.87577,1.15597,0.000553722,0.000553722,0.000553722
154,1114.07,0.57205,0.42675,0.9521,0.80832,0.63313,0.72786,0.57166,0.984,0.92925,1.17715,0.000550056,0.000550056,0.000550056
155,1121.2,0.58383,0.44145,0.96123,0.89106,0.66472,0.75516,0.6014,0.99229,0.86478,1.17055,0.00054639,0.00054639,0.00054639
156,1128.39,0.57886,0.4334,0.95656,0.80295,0.72798,0.77694,0.62314,0.95109,0.81965,1.12404,0.000542723,0.000542723,0.000542723
157,1135.52,0.5583,0.42677,0.95015,0.84686,0.6251,0.74499,0.58777,1.00204,0.88342,1.14735,0.000539057,0.000539057,0.000539057
